Price,Close,High,Low,Open,Volume
Ticker,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS
Date,,,,,
2024-03-18,833.6748657226562,850.6024251079558,826.6404173014789,836.1357332295333,882600
2024-03-19,807.1774291992188,836.6576507447127,801.7089159188426,835.6882567556687,1141702
2024-03-20,805.1392211914062,820.227335154986,788.9573681006777,810.3342848167011,1028696
2024-03-21,826.1929321289062,837.8756649165628,822.7875519428434,823.756945921141,1553698
2024-03-22,838.1988525390625,854.9274837871009,835.216027018118,848.116723121907,2560288
2024-03-26,859.7496948242188,868.9715600051472,831.7111247458487,841.8030413287748,1844836
2024-03-27,872.4764404296875,879.9335040231036,861.0173951001758,864.522239263377,1609238
2024-03-28,870.9353637695312,880.9029361258409,866.5108270422076,877.9201105594306,747002
2024-04-01,881.8723754882812,885.7748933992228,869.4936374661096,883.4134898669392,1177048
2024-04-02,873.1288452148438,882.8216230222879,853.368444942103,879.8738534154986,3081116
2024-04-03,878.2000732421875,906.0794658171864,866.8584908700404,873.8283085187795,2544876
2024-04-04,878.7496948242188,888.842201325783,866.858470657804,882.5968232951071,1132990
2024-04-05,871.7548828125,884.3455406907327,867.358112225487,878.3499777029989,733606
2024-04-08,882.4219360351562,885.3447606598729,868.5321913534017,875.5520204261984,1188656
2024-04-09,866.9583740234375,886.3440518649702,861.8871758445238,884.3455308912048,777472
2024-04-10,883.5711059570312,889.141995535474,863.3610864033776,867.3581284700599,1272380
2024-04-12,879.6989135742188,894.2382019271653,875.8517852341716,879.3491968124027,1377568
2024-04-15,881.547607421875,903.8311039220034,841.8769541783171,874.3529197697655,2679076
2024-04-16,922.76708984375,929.3122337003022,875.4021193430174,878.3499499167372,7746718
2024-04-18,904.3806762695312,943.301883778082,895.9869249146699,929.3372431043875,2276862
2024-04-19,915.9471435546875,925.1153463214885,883.6710420346319,888.8422028549238,2404794
2024-04-22,921.4180908203125,939.5296875433315,917.8207773844387,924.315970692004,1345048
2024-04-23,960.8389282226562,969.9322354295628,918.2205041968977,926.2645390795302,5013454
2024-04-24,1022.46826171875,1041.0794878214033,957.4663808709769,964.2863457213623,9780408
2024-04-25,1029.313232421875,1048.199280665606,1013.724792689605,1026.190543293614,3723820
2024-04-26,1008.2538452148438,1045.7261139914112,1003.6822162260983,1035.2338787339722,1799710
2024-04-29,985.8204345703125,1020.7195953522723,981.2738114910414,1014.2494080075429,1380416
2024-04-30,988.0438232421875,1010.2523634127958,971.2812039933111,987.769002209247,1795538
2024-05-02,982.8975830078125,997.9114960145125,981.2737847387692,992.7652801812293,944786
2024-05-03,979.075439453125,993.7645812074384,970.2819591276245,985.2958727470035,1155078
2024-05-06,952.0953979492188,985.270858947483,940.0793269581975,984.2465925327919,1363664
2024-05-07,922.3923950195312,966.7845303792514,912.8494694758073,952.7948834280271,1597060
2024-05-08,943.2769165039062,955.7926788005706,917.3961058622319,924.3159727031132,1398546
2024-05-09,933.4091796875,977.6764672557697,929.3122361606488,947.5487397197153,2102724
2024-05-10,930.0867309570312,964.4363111864477,914.348377833735,939.8045150768356,766452
2024-05-13,914.6730346679688,938.8051990939044,902.1073832166561,933.8088968102753,893164
2024-05-14,977.1768798828125,986.1202126805355,919.3196717945184,919.8193020509285,2946444
2024-05-15,998.8857421875,1001.7586160239778,964.7859788240903,977.276734634863,2208830
2024-05-16,1034.0347900390625,1040.2301562023347,993.0401045881068,1004.7564092809295,3514634
2024-05-17,1161.265625,1172.382398219856,1021.9686849322693,1036.7327834247608,11085440
2024-05-21,1268.2613525390625,1343.1059868938614,1245.253477569006,1268.5611794751053,7096098
2024-05-22,1318.4493408203125,1367.9376197546117,1249.5752617097476,1283.5501188853825,8728582
2024-05-23,1404.23583984375,1477.9062966659262,1319.9482400857553,1331.0150014597793,11343896
2024-05-24,1521.9237060546875,1657.7231062034941,1430.0416327449993,1433.888761154521,10533547
2024-05-27,1543.70751953125,1638.787178069523,1529.8677863563657,1578.8315496035648,5180268
2024-05-28,1452.3751220703125,1540.8596879629235,1430.1915878060536,1540.8596879629235,4259515
2024-05-29,1539.66064453125,1552.8508344877778,1409.956581378542,1442.9321782499042,5436219
2024-05-30,1546.4056396484375,1596.8182832144746,1523.8722665219486,1553.850081601069,4844466
2024-05-31,1556.1982421875,1628.7945384988068,1484.951045071862,1624.7974966865397,7314397
2024-06-03,1595.3193359375,1661.7201451931187,1578.9314398788713,1661.7201451931187,3797720
2024-06-04,1435.787353515625,1578.7814995473973,1435.787353515625,1578.7814995473973,3342860
2024-06-05,1304.2847900390625,1386.523979394355,1292.2436520151196,1370.6856026131402,6401013
2024-06-06,1367.787841796875,1417.9506708605297,1325.2692580893429,1329.0164850207925,6332980
2024-06-07,1429.8917236328125,1438.9350796965316,1339.0090324953835,1367.887684532523,3187159
2024-06-10,1417.8006591796875,1473.9091576094368,1403.9609264008534,1438.7352387079916,2576038
2024-06-11,1421.6478271484375,1457.7212278332274,1414.9528307666276,1426.7441531483648,1605710
2024-06-12,1420.298828125,1437.4361693822555,1409.0072581333072,1423.9461531941008,1254013
2024-06-13,1489.997314453125,1498.8907573427,1400.963227862977,1423.9462194755652,4294918
2024-06-14,1581.6295166015625,1616.1040027270549,1471.9106684884152,1498.8907011083656,9955913
2024-06-18,1626.0966796875,1648.7798445139474,1593.8205163634825,1597.4178298100499,7287059
2024-06-19,1562.6934814453125,1637.7879311148283,1534.8641013986432,1627.5455111673439,3956234
